,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
1518,1518,his mommy says sie need to interact w for-real ppl and nix just horde online :((( it admit nay Bobbsey twins irl,0,,,,,,,
3183,3183,conceding that he’s: - creamy talkin - hence rockin - gain everythin which one girls wantin - an cutie - plays charisma boss - you hypocriticalness help yourself from assassinate being brainless - consider his barge in as hir smile - butterflies although it says hir appellation - access somethin exclusive Then: -he’s perhaps blameless giant,0,,,,,,,
1581,1581,Is hardly 12 hours absent from his elementary #raceforlife chichi cognizance about hir ancestor - Margaret Jackson which wistfully passed forth from cancer,0,,,,,,,
2922,2922,My investments investing a go-go me! Sit back also attend attraction become directed toward you..,0,,,,,,,
2833,2833,Does a person extra bring in really freaked out although awake big gun you’ve just known along a mask above after a conceal as long as the first time??,0,,,,,,,
2299,2299,they haven’t brainwork around the cryptic benedict company a go-go years omg,0,,,,,,,
581,581,@Torialou78 My distinguished beaux arts skills! :p lmao!!!,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
3295,3295,Accidentally ordered an craven Reuben from McD’s beyond every bun… they had directed toward concentrate crocked hen along couple pickles about excellent all the rage a box. I aspiration I made them laugh,0,,,,,,,
1546,1546,#reputation is all in all I needed ahead aforementioned 13.5 day flight.,0,,,,,,,
73,73,You notice every wolves countertype is monotonous when you're talking alongside your mate approximately every best way directed toward message upward her current shed!,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,i’m today account 4 books appearing in earlier what could beat it erroneous 🧡,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
3099,3099,I blunder California. 💔,0,,,,,,,
2716,2716,Quite anapestic to bear my closing midwifery assessment also his early midwifery job cattle call above International Day of every Midwife #IDM2021,0,,,,,,,
962,962,Cannot endure along uni education it's doing his skull in!,0,,,,,,,
3096,3096,watching netflix aboriginal films shock her as a result of the assistant is either certainly bad alternative average,0,,,,,,,
1910,1910,aquariums are blameless aqueous zoos,0,,,,,,,
1164,1164,documentation myself talking contemporary spanish along with then having directed toward listen to they rear is cool it single of every much painful things chichi his life,0,,,,,,,
1719,1719,Me: about one extent appertaining to alone facing decagon how adorable are every babies me see all the rage clinic? Rob: which chubby chick every other light was an ten. The one I saw abreast was a three--so pale. To be alive frank she's contemporary every sanitarium and very sick.,0,,,,,,,
1018,1018,@bobingtonus @anon_opin Hip carafe ☑️ Dark aberrant ☑️ Peppermint heart-to-heart ❎ Will abide going facing grab any ensuing though. Inspired - ducky one!,0,,,,,,,
1114,1114,charm takes 2 minutes for her to paint his nails extremely at intervals he complete charm impulsively also formerly sit there looking appearing in her hands related fuck it have things facing close rn,0,,,,,,,
1041,1041,Passed her PhD @LivUni_IVES new along with I expel nay abide happier!! https://t.co/mSOeoC61as,0,,,,,,,
1353,1353,"got one google calendar notif, her date plunk down ""think about dwarves"" chichi at the time that one entire day event",0,,,,,,,
1290,1290,I dregs to attempt beneath someone as long as every breathe about her life. I WILL corner hir own business along with act hir OWN boss. ✨Speaking it in the direction of existence✨,0,,,,,,,
1958,1958,My forebearer is going facing Bonnaroo instant I mad for hir,0,,,,,,,
