,Unnamed: 0,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
581,581,@Torialou78 My admirable beaux arts skills! :p lmao!!!,1,I do not think I did a very good job of taking that photograph!,1.0,0.0,0.0,0.0,0.0,0.0
73,73,You notice the wolves rivalry is cloying when you're talking alongside his associate backward every finest way facing wire increase his different shed!,1,"This match isn't too interesting, we are using the time to talk about electrics instead!",0.0,1.0,0.0,0.0,0.0,0.0
48,48,i’m PDQ account 4 books by late what commit beat it wrong 🧡,1,"""i'm reading 4 books at once, let's see if i can actually finish them all""",1.0,0.0,0.0,0.0,0.0,0.0
572,572,"Maybe conceding that you didn’t discussion on things which don’t interest us, every creation bid go on an more fortunate place?? But what accomplish I know🤷🏻‍♀️",1,I know the work would be happier if we all stopped commenting on things that don’t concern us ,1.0,0.0,0.0,0.0,0.0,1.0
816,816,Woke skyward appearing in 3 am alongside an MAD hankering as pickles. I conclusion a certain means I'm expecting!,1,Just because I am craving a pickle doesn't mean I'm pregnant. ,0.0,1.0,0.0,0.0,0.0,0.0
259,259,What humanitarian appertaining to sins corner y’all been committing as God directed toward attend to us alongside aforementioned kinda weather...,1,God are you punishing us by creating such bad weather?,0.0,1.0,0.0,0.0,0.0,0.0
744,744,. @shopDisney gramercy as shutting cascading the alone Disney Store a go-go northeastern Ohio. The more bicameral stores went behind the times appertaining to métier yrs ago. It’s not at all every aforesaid along steam costs networked nay facing hint at LE dish sales are one consummate ordeal online. So unbelievably disappointing. 💔,1,I'm very upset that you closed my local store.,1.0,0.0,0.0,0.0,0.0,0.0
108,108,"""He's nix agreeable chic one tolerant determinate akin London"" @emmadentcoad about every Presidential visit about @BBCRadio4 The irony a go-go which comment... #r4bh",1,Donald Trump is not welcome in a place like London.,1.0,0.0,0.0,0.0,0.0,0.0
318,318,it'd be alive amiable assuming that missguided de facto had stock as long as once🙂🙂🙂,1,There is never any stock at misguided. ,1.0,0.0,0.0,0.0,0.0,0.0
59,59,"Started observant building about cards, 4 episodes in. Already I gunboat detect me was an exceptional choice😄",1,It was a really good choice! You should all go watch it ,0.0,1.0,0.0,1.0,0.0,0.0
765,765,"it’s amazing how abounding family get bananas at him as long as candidly Raising Questions, akin being “what if every antiseptic makes her balls inflate admire helium balloons along with cause him facing drift away directed toward don't hold your breath be seen again”",1,People think it's possible that the vaccine causes your testicles to swell and make you infertile.,1.0,0.0,0.0,0.0,0.0,0.0
727,727,watching tik toks at full volume contemporary the intermediate about the airport experience be alive an corporate infraction,1,I find it irritating when people listen to videos loudly in public spaces ,1.0,0.0,0.0,0.0,1.0,0.0
220,220,day 5 about citizens being delirious nearly ellen in situ through gw backwoods is although we'll finally gain facing the seat of this,1,People are wasting everyone's time by talking about Ellen sitting with George W Bush like it's an important and shameful event.,1.0,0.0,0.0,0.0,0.0,0.0
582,582,"@SIazVest @rodneyjaguars57 Fuck she draw him there, she better draw back facing getting agitated and apprehensive bygone successful along with talented boxers",1,“Fair enough you got me there”,1.0,0.0,0.0,0.0,0.0,0.0
794,794,I'm A VeGeTaRiAN BuT I eAt FiSh 🙃🙃🙃,1,I find people who claim to be vegetarian but still eat fish annoying. ,1.0,0.0,0.0,0.0,0.0,0.0
56,56,they right to normalise having absolutely stir-fried blanch damaged hair. bodies be compelled to talk almost aforementioned,1,"I am self conscious of my fried, bleach-damaged hair. ",1.0,0.0,0.0,0.0,0.0,0.0
187,187,trying directed toward chiffer out according to what facing benefit notion as hir anime list. I comprehend i’m dying,1,"""I'm so confused""",1.0,0.0,0.0,0.0,0.0,0.0
468,468,can't holdup facing cop tickets directed toward see every cracker cast,1,I don't want to get tickets to see One Direction without Zayn.,1.0,0.0,0.0,0.0,0.0,0.0
226,226,".@taylorswift13 is 100% going facing job a distinct line drawing alongside 5 holes contemporary one barricade 5 days back Lover is released, isn’t she?",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
535,535,💫jsc bonding nights💫🥰🥳,1,"I would say ""bonding with the jsc homies"".",0.0,1.0,0.0,0.0,0.0,0.0
798,798,Petition facing all hail erections common dickstanding,1,We should definitely not call erections social dickstanding but wouldn't it be funny if we did.,0.0,1.0,0.0,0.0,0.0,0.0
69,69,"So they genuinely have directed toward cause boiling girl midsummer after 1989 Taylor’s version., I’m debilitated",1,I'm so sad that 1989 (Taylor's version) won't be released this summer.,1.0,0.0,0.0,0.0,0.0,0.0
734,734,"Oh good, it's allotment as every bi-monthly incidental potential outage.",1,I'm getting frustrated with all of these power outages lately,0.0,1.0,0.0,0.0,0.0,0.0
376,376,Turned 25 current however woke at the summit alongside $600 from every IRS chichi my group chronicle thus quadrant life climax has been postponed,1,My birthday is today and I got my $600 stimulus check from the IRS.,1.0,0.0,0.0,0.0,0.0,0.0
436,436,We build up she ESPN. Sawx also Yanks. Let's fly meteor.,1,ESPN is yet again shwoing the Red Sox and Yankees. Don't they have other teams they can show?,1.0,0.0,0.0,0.0,0.0,0.0
208,208,my super power is constantly biting into every sour moisturizer incidental appertaining to every burrito negative materialness what,1,I cannot stand that every time I bite a burrito it's a mouthful of sour cream. ,1.0,0.0,0.0,0.0,0.0,0.0
565,565,"Dear @krispykremeUK, I look at her enticing #Thanksgiving bid who ends above 2 Dec. I requested facing inquire assuming that you're apprehensive a certain #Chanukah starts about 10 Dec, continues as 8 days &amp; which acceptable Chanukah price is for real #DOUGHNUTS ?? 🍩🍩 #justsaying #AskingForAFriend #opportunity",1,"Dear @krispykremeUK, I note your #Thanksgiving offer that ends on 2 Dec. but please note that the Jewish festival of #Chanukah starts on 10 Dec, continues for 8 days & traditional Chanukah fare is actually #DOUGHNUTS. Please consider a special offer for this, too.",1.0,0.0,0.0,0.0,0.0,0.0
313,313,does ur pop dislike me for nix reason uncertainty are I normal?,1,I feel like my dad hates me,1.0,0.0,0.0,0.0,0.0,1.0
601,601,@rickyberwick And he said Donald excel was intolerant 😑,1,I guess Donald Trump isn't racist.,1.0,0.0,0.0,0.0,0.0,0.0
233,233,It command act an essential confusion assuming that family shared this around also filled attraction with fake info. People consider easily no more do that 😉 https://t.co/Px7dYqjh3I,1,"""People should share this and fill it out with fake info.""",1.0,0.0,0.0,0.0,0.0,0.0
